cell no.,A,B,C,D,E,F,G,H,I,size
510026,1.277230193,0.871084109,1.457619863,0.924216028,1.253690037,1.041568627,1.104132231,1.206925323,0.956609895,small
510027,0.633159521,0.948054332,0.965103189,1.767679057,0.953421767,0.853280632,1.094215862,1.474650802,0.588315217,small
510030,0.994137983,1.076312222,0.739105829,0.970962867,1,1,1,1,1,small
510031,1.166553134,0.337908391,0.679610337,1.927236755,0.964446445,1.684099154,1.387309645,1.738173163,1.008995867,small
510032,0.741667641,0.663157895,1.022367195,1.041154009,1.467660292,0.761448553,0.913259958,0.836120401,1.083003953,small
510033,1.670176575,1.210751374,1.433458775,1.105263158,1.010515517,0.895959596,0.615656963,0.618306636,1.155632411,small
510034,2.192750429,1.882206759,1.452252252,0.967843411,0.749879981,0.971176942,0.824402308,0.808407437,1.385,small
510036,0.866460542,1.551594747,0.766542981,0.822256175,0.812720848,0.965313029,0.830244626,1,3.621312197,small
510043,0.77157269,1.123544014,0.819508635,1.122177419,1.05821628,0.997426218,0.843305332,1.860269914,1.001686625,small
510044,2.909395973,3.937829294,3.14677983,2.8955,1.252918288,0.945674044,0.816148776,0.261281297,1.108059342,small
510045,1.315444788,1.577149213,1.158515342,1.579184704,1.01130695,1.027478862,0.937779506,0.84432269,1.027697075,small
510046,1.401105129,1.427383462,1.750306185,1.529968969,1.00924795,0.848600267,0.936063061,0.895140149,0.982920225,small
510048,0.906245803,0.871240602,1.058797622,0.937284036,0.78140607,1.043067227,1.193353474,0.838804508,0.930851064,small
510052,1.994182548,0.854676551,1.377398721,1.260467748,1.304713805,1.213461538,0.759459459,0.867558528,0.805576488,small
510058,0.802510986,1.147064137,1.090494792,1.078835011,1.086750108,1.191985089,1.048588616,1.15910133,1.102447869,small
510059,2.971392775,2.37275566,1.065966141,0.947342839,0.733033303,0.774312377,0.874531197,0.783491648,1.068161163,small
510061,2.858445407,0.462357166,1.796212121,0.569200264,2.258130081,2.334715417,1.331564987,1.866555925,0.847136772,small
510067,1.01931876,0.637516839,1.218143204,3.366555661,3.675945256,3.966723068,1.214723926,0.991300145,0.968795709,small
510069,1.000841468,1.519295086,1.368934531,1.070593809,0.77064685,1.024822695,1.205181656,1.287852619,1.118733509,small
510071,1.151969178,0.453531599,1.465814068,1.997077244,1.580575733,0.844682927,0.763719512,0.993150685,1.242660431,small
510074,1.175817267,1.190921228,2.1556,1.029487652,1.165702479,1.72542559,1.612806188,1.598253275,1.089113257,small
510079,0.956370938,0.8644746,0.858821061,0.970557672,4.611076149,1.048441123,1.411094601,1.090828337,1.031026908,small
510083,1.601182654,1.615826034,1.099455041,1.627629911,0.991298943,2.001183957,0.737670697,0.487533393,1.147739527,small
510085,1.035203904,1.363243852,0.907798834,1.043843124,1.058835182,1.044533333,2.564653081,0.851750829,1.057779212,small
510086,1.05636449,1.07505618,0.946721311,1.624113475,2.467924528,1.000654793,0.66738375,0.531430262,0.862475442,small
510087,1.021052632,1.024301676,0.892974154,1.05135887,1.241698972,1.193360251,1.12340238,1.014409222,0.979901005,small
510095,0.950466619,0.819678715,0.586169585,0.996818182,2.326102675,0.968162639,1.010273973,0.952647156,3.974416517,small
510103,0.994456763,1.155618121,1.101950585,4.822481302,0.924250681,1.058184798,0.948967193,0.994975845,1.578546899,small
510115,0.96911685,1.064852028,1.694915254,1.060732587,4.401038868,1.430522845,1.382683275,1.364178491,0.996780303,small
510119,1.060378336,0.962390052,1.075640031,1.037882719,2.266395296,1.101080247,1.594526102,1.349326936,0.601634473,small
510126,0.986499215,0.749058026,1.404346394,0.765118142,2.778591779,0.696864111,0.686835827,1.216604424,1.157383751,small
510127,0.917935965,1.042745098,1.860312243,0.576722481,2.865625,0.734770705,0.766878342,1.24910129,1.341394026,small
510133,0.886178862,0.977866729,1.242742821,0.848372231,3.073952096,0.858405218,1.307718234,1.307948121,1.062977794,small
510136,1.10446571,1.004217926,1.05540974,1.784730914,3.43547691,1.040786599,0.848801475,0.947889182,0.892857143,small
510140,1.122218532,1.076212471,1.99405116,2.682448037,0.959762231,0.970938542,0.948565776,0.9505,1.399515249,small
510153,1.02446281,0.96459144,1.002785515,1.022721051,1.532303279,2.490453606,0.632131661,0.742159763,0.996489779,small
510163,1.025055432,0.960677819,1.311594203,3.653400045,0.627182992,1.138716814,1.171385671,1.235017626,0.955039884,small
510174,0.980759981,0.905384213,0.972319859,1.742971888,4.303742147,1.039636455,0.866496401,0.782852956,1.028595458,small
510175,1.085365854,1.082576617,1.385041551,1.117315814,3.862139918,1.101461039,1.552851711,2.03343949,0.9616,small
510176,1.591790562,0.831909617,1.182014001,0.462190259,4.646625475,0.764166667,1.157478586,1.26151651,0.928959549,small
510178,1.027700831,1.145406477,1.050624589,1.810430464,2.511891694,0.987907762,0.615442846,0.917169501,1.058930426,small
510181,0.978934325,1.183730715,0.67483871,0.98088411,0.616197183,1.376122083,0.75092115,0.569979716,0.971877585,small
510186,1.065612185,0.991666667,0.666091756,4.550511509,1.144,0.882612533,0.961504029,0.904159132,1.223,small
510196,1.631882942,0.850016966,0.849113233,0.751304348,1.869967532,1.03811841,1.007052601,1.181126858,0.990808241,small
510205,1.631337518,0.960828968,1.008852964,2.663815029,2.385739933,0.89787234,0.388664435,0.702425557,1.65170106,small
510210,1.19744898,0.821493076,1.072133637,1.051386623,2.775576582,2.336401674,0.916112393,1.208709386,0.847808765,small
510212,0.928886092,1.014869151,0.585652092,0.992501704,1.10900363,1.01882405,0.556285391,0.577775387,1.070560748,small
510216,0.966822715,1.133436174,1.911083084,1.155487219,1.141381185,2.655587949,1.247981784,0.928880109,0.948291167,small
510219,0.9444,0.976008493,0.824239244,1.147571036,2.970572057,1.117419355,1.024205749,1.021791188,1.086432687,small
510220,0.985832926,1.089,1.090443686,1.069743234,2.427448609,1.210335449,1.894379845,1.748473748,1.324898328,small
510226,0.975409836,1.020711974,0.666910867,1.205312276,2.975918367,0.891622154,0.423730178,1.98875631,2.385614386,small
510231,1.097816842,1.085797254,1.094903339,1.00551572,1.18443804,1.020642202,1.074534161,0.92436675,1.127441369,small
510002,0.62992126,0.969546742,1.13345521,1.025145068,1.183152521,1.041237113,1.21422731,0.719626168,0.840060929,medium
